N,obs_subsamples,smoothness_w,ux_min,obstacle_clearance_m,success,accepted,cost_s,solve_time_s,iterations,max_obstacle_slack,min_obstacle_clearance_m
130,5,0.15,2.0,0.0,True,True,20.577626046456427,13.435600519180298,18,0.0,inf
130,5,0.15,2.5,0.0,True,True,20.57762604645575,13.074995994567871,19,0.0,inf
130,5,0.2,2.0,0.0,True,True,20.735717804986404,13.908531427383423,18,0.0,inf
130,5,0.2,2.5,0.0,True,True,20.73571780498578,12.9922935962677,18,0.0,inf
130,5,0.25,2.0,0.0,True,True,20.841164788651174,12.784713983535767,17,0.0,inf
130,5,0.25,2.5,0.0,True,True,20.841164789258976,12.768618822097778,17,0.0,inf
140,5,0.15,2.0,0.0,True,True,20.518188626070327,14.328153610229492,19,0.0,inf
140,5,0.15,2.5,0.0,True,True,20.51818862606929,14.574405431747437,20,0.0,inf
140,5,0.2,2.0,0.0,True,True,20.68545370191749,14.083041906356812,18,0.0,inf
140,5,0.2,2.5,0.0,True,True,20.68545370191726,14.32126498222351,19,0.0,inf
140,5,0.25,2.0,0.0,True,True,20.79561629191374,14.137107372283936,18,0.0,inf
140,5,0.25,2.5,0.0,True,True,20.795616291912904,14.061781644821167,18,0.0,inf
150,5,0.15,2.0,0.0,True,True,20.46036101946692,15.122267484664917,18,0.0,inf
150,5,0.15,2.5,0.0,True,True,20.460361019464955,16.215301036834717,21,0.0,inf
150,5,0.2,2.0,0.0,True,True,20.637362541444574,15.161139011383057,18,0.0,inf
150,5,0.2,2.5,0.0,True,True,20.637362541443252,15.646115779876709,21,0.0,inf
150,5,0.25,2.0,0.0,True,True,20.75247915149605,16.102636337280273,18,0.0,inf
150,5,0.25,2.5,0.0,True,True,20.752479151495432,15.742321729660034,21,0.0,inf
